Project,Package,Module,Class,Method,LOC,CC,PC
group02,group02.backend.test.integration,answer_routes_test,AnswerRoutesTestCase,test_create_ans_endpoint_exist,8,1,0
group02,group02.backend.test.integration,answer_routes_test,AnswerRoutesTestCase,test_get_comment_for_ans,10,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,setUp,35,2,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_post_comnt_success,14,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_comnt_missing_content,11,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_patch_comm_success,11,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_patch_comm_not_found,7,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_patch_comm_empty,7,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_del_commt_success,10,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_del_comnt_not_found,6,1,0
group02,group02.backend.test.integration,comment_routes_test,CommentRoutesTestCase,test_get_all_comnts,9,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,setUp,21,2,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_login_endpoint_exists,7,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_login_missing_email,9,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_login_missing_pswd,9,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_login_invalid_cred,10,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_login_nonexistent_user,10,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_logout_endpoint_exists,3,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_logout_success,6,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_chk_login_endpoint_exist,3,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_chk_login_not_logged_in,5,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_login_page_endpoint_exist,3,1,0
group02,group02.backend.test.integration,login_routes_test,LoginRoutesTestCase,test_login_pg_return_next_url,5,1,0
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,app,59,1,0
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,client,2,1,1
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,auth_headers,8,1,1
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,other_auth_headers,8,1,1
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_get_ques_for_edit,9,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_ques_for_edit_not_found,5,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_get_ques_for_edit_unauth,5,1,1
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_ques_for_edit_non_author,5,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_edit_ques_within_ten_min,6,1,3
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_edit_ques_after_ten_min,10,1,3
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_success,20,1,3
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_not_found,8,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_unauthorized,8,1,1
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_non_author,10,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_valid_ttl_req,11,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_valid_ttl_maxlen,11,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_valid_bdy_minlen,11,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_valid_tags_min,11,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_tags_max_five,11,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_no_same_tags,11,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_incre_edit_cnt,15,1,3
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_upd_time,35,1,3
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_partial_upd,11,1,2
group02,group02.backend.test.integration,question_edit_test,TestQuestionEditRoutesMinimal,test_upd_ques_with_tags,12,1,3
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,setUp,28,2,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_fuzzy_search_endpoint_exists,6,1,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_fuzzy_search_exact_match,8,1,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_fuzzy_search_partial_match,11,2,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_fuzzy_search_multiple_keywords,8,2,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_fuzzy_search_no_query_parameter,7,1,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_fuzzy_search_whitespace_handling,5,1,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_question_get_increments_view_count,10,1,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_view_count_persists_in_database,10,2,0
group02,group02.backend.test.integration,question_routes_test,QuestionRoutesTestCase,test_view_count_nonexistent_question,5,1,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,setUp,28,2,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,test_get_tags_endpoint_exists,5,1,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,test_get_tags_empty_response,6,1,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,test_get_tags_ques_not_found,5,1,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,test_get_tags_with_one_tag,8,1,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,test_get_tag_with_multiple_tag,11,1,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,test_get_ques_endpoint_exist,5,1,0
group02,group02.backend.test.integration,question_tag_routes_test,QuestionTagRoutesTestCase,test_get_ques_empty_res,6,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,setUp,5,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_post_vote_question,15,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_post_vote_answer,15,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_get_votes,10,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_get_vote_count_for_ques,9,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_get_vote_count_for_ans,8,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_patch_vote_switch_type,15,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_delete_vote,16,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_del_vote_not_found,6,1,0
group02,group02.backend.test.integration,vote_routes_test,VoteRoutesTestCase,test_get_user_votes,14,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerValidation,setUp,2,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerValidation,test_validate_ans_body_valid,4,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerCreation,setUp,3,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerCreation,test_create_valid_ans,13,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerCreation,test_invalid_ans_creation,7,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerCreation,test_create_ans_with_false_qs,9,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerRetrieval,setUp,3,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerRetrieval,test_get_ans_by_ques_id,18,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerRetrieval,test_get_ans_by_user_id,18,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerRetrieval,test_get_ans_empty_result,7,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerCount,setUp,3,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerCount,test_count_ans_for_user,6,1,0
group02,group02.backend.test.unit,answer_test,TestAnswerCount,test_count_ans_for_ques,6,1,0
group02,group02.backend.test.unit,fuzzy_search_test,TestFuzzySearchBasic,test_src_match_ret_result,13,1,0
group02,group02.backend.test.unit,fuzzy_search_test,TestFuzzySearchBasic,test_src_empty_qry_ret_empty,6,1,0
group02,group02.backend.test.unit,fuzzy_search_test,TestFuzzySearchBasic,test_partial_match_lower_score,14,1,0
group02,group02.backend.test.unit,fuzzy_search_test,TestFuzzySearchBasic,test_src_no_match_ret_empty,10,1,0
group02,group02.backend.test.unit,fuzzy_search_test,TestFuzzySearchBasic,test_wrd_order_independent,15,1,0
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,setUp,2,1,0
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,tearDown,3,2,0
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_init_with_api_key,6,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_init_without_api_key,5,1,0
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_generate_ans_success,16,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_generate_ans_empty_title,5,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_generate_ans_whtspace_ttl,5,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_generate_ans_truncated,23,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_generate_ans_api_err,7,1,2
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_summarize_ans_with_list,17,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_summarize_ans_w_one_dict,12,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_summarize_ans_truncated,20,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_ans_invalid_type,5,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_summarize_ans_api_err,9,1,2
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_is_response_trunc_true,7,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_is_response_trunc_false,7,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_is_res_trun_no_candidates,6,1,1
group02,group02.backend.test.unit,gemini_services_test,GeminiServicesTestCase,test_is_res_trunc_none_res,4,1,1
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_sanitize_dangerous_script,7,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_preserve_safe_html_format,7,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_remove_dangerous_attr,7,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_empty_content,3,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_plain_text_content,4,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_nested_script_tags,8,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_insensitive_scrpt_rem,7,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_allowed_link_attr,6,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_disallowed_protocols,6,1,0
group02,group02.backend.test.unit,html_sanitization_test,TestHtmlSanitization,test_code_and_pre_tags,6,1,0
group02,group02.backend.test.unit,test_user_redirect,,client,5,1,0
group02,group02.backend.test.unit,user_login_test,TestUserLogin,setUp,2,1,0
group02,group02.backend.test.unit,user_login_test,TestUserLogin,test_verify_credential_success,12,1,1
group02,group02.backend.test.unit,user_login_test,TestUserLogin,test_verify_cred_wrg_pswd,12,1,1
group02,group02.backend.test.unit,user_login_test,TestUserLogin,test_verify_cred_user_nt_exist,8,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,setUp,2,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_user_exists,7,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_user_not_exists,7,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_create_user_exists,5,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_create_user_not_exists,5,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_validate_email_contains,4,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_validate_no_email,4,1,0
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_verify_and_create_user_correct_otp,9,1,1
group02,group02.backend.test.unit,user_registration_test,TestUserRegistration,test_verify_and_create_user_incorrect_otp,5,1,0
group02,group02.backend.utils,fuzzy_search,,get_all_questions,7,1,0
group02,group02.backend.utils,fuzzy_search,,calculate_score,21,2,2
group02,group02.backend.utils,fuzzy_search,,search_questions,23,4,1
group02,group02.backend.utils,html_sanitizer,,sanitize_html_body,24,1,1
group02,group02.frontend.node_modules.flatted.python,flatted,_Known,__init__,3,1,0
group02,group02.frontend.node_modules.flatted.python,flatted,_String,__init__,2,1,1
group02,group02.frontend.node_modules.flatted.python,flatted,,_array_keys,7,2,1
group02,group02.frontend.node_modules.flatted.python,flatted,,_object_keys,5,2,1
group02,group02.frontend.node_modules.flatted.python,flatted,,_is_array,2,1,1
group02,group02.frontend.node_modules.flatted.python,flatted,,_is_object,2,1,1
group02,group02.frontend.node_modules.flatted.python,flatted,,_is_string,2,1,1
group02,group02.frontend.node_modules.flatted.python,flatted,,_index,6,1,3
group02,group02.frontend.node_modules.flatted.python,flatted,,_loop,6,3,4
group02,group02.frontend.node_modules.flatted.python,flatted,,_ref,8,5,5
group02,group02.frontend.node_modules.flatted.python,flatted,,_relate,7,2,3
group02,group02.frontend.node_modules.flatted.python,flatted,,_transform,12,3,3
group02,group02.frontend.node_modules.flatted.python,flatted,,_wrap,13,5,1
group02,group02.frontend.node_modules.flatted.python,flatted,,parse,17,4,1
group02,group02.frontend.node_modules.flatted.python,flatted,,stringify,9,2,1
